date,num_extreme_pixels,date_YMD,time_HMS
1970-01-02 00:00:00,233,19700102,000000
1970-01-02 12:00:00,205,19700102,120000
1970-01-03 06:00:00,217,19700103,060000
1970-01-04 06:00:00,258,19700104,060000
1970-01-04 12:00:00,228,19700104,120000
1970-01-06 00:00:00,338,19700106,000000
1970-01-06 06:00:00,654,19700106,060000
1970-01-06 12:00:00,332,19700106,120000
1970-01-07 06:00:00,332,19700107,060000
1970-01-07 12:00:00,470,19700107,120000
1970-01-07 18:00:00,505,19700107,180000
1970-01-08 00:00:00,385,19700108,000000
1970-01-08 06:00:00,442,19700108,060000
1970-01-08 12:00:00,271,19700108,120000
1970-01-13 06:00:00,209,19700113,060000
1970-01-13 12:00:00,455,19700113,120000
1970-01-13 18:00:00,537,19700113,180000
1970-01-14 00:00:00,378,19700114,000000
1970-01-17 06:00:00,277,19700117,060000
1970-01-17 12:00:00,374,19700117,120000
1970-01-18 06:00:00,203,19700118,060000
1970-01-20 06:00:00,210,19700120,060000
1970-01-20 12:00:00,222,19700120,120000
1970-01-20 18:00:00,254,19700120,180000
1970-01-21 00:00:00,247,19700121,000000
1970-01-24 00:00:00,286,19700124,000000
1970-01-24 06:00:00,213,19700124,060000
1970-01-29 00:00:00,294,19700129,000000
1970-01-29 06:00:00,222,19700129,060000
1970-01-31 06:00:00,319,19700131,060000
1970-01-31 12:00:00,526,19700131,120000
1970-01-31 18:00:00,612,19700131,180000
1970-02-01 00:00:00,559,19700201,000000
1970-02-01 06:00:00,385,19700201,060000
1970-02-01 12:00:00,303,19700201,120000
1970-02-01 18:00:00,213,19700201,180000
1970-02-03 00:00:00,320,19700203,000000
1970-02-03 06:00:00,214,19700203,060000
1970-02-16 00:00:00,256,19700216,000000
1970-02-16 18:00:00,202,19700216,180000
1970-02-17 00:00:00,215,19700217,000000
1970-02-17 06:00:00,253,19700217,060000
1970-02-17 12:00:00,270,19700217,120000
1970-02-17 18:00:00,280,19700217,180000
1970-02-19 06:00:00,235,19700219,060000
1970-02-19 12:00:00,374,19700219,120000
1970-02-19 18:00:00,509,19700219,180000
1970-02-20 00:00:00,500,19700220,000000
1970-02-20 06:00:00,382,19700220,060000
1970-02-20 12:00:00,227,19700220,120000
1970-02-21 00:00:00,208,19700221,000000
1970-02-22 00:00:00,216,19700222,000000
1970-02-24 00:00:00,340,19700224,000000
1970-02-24 06:00:00,446,19700224,060000
1970-02-24 12:00:00,302,19700224,120000
1970-02-24 18:00:00,239,19700224,180000
1970-02-25 06:00:00,208,19700225,060000
1970-02-25 12:00:00,223,19700225,120000
1970-02-27 00:00:00,449,19700227,000000
1970-02-27 06:00:00,402,19700227,060000
1970-02-27 12:00:00,400,19700227,120000
1970-02-27 18:00:00,315,19700227,180000
1970-02-28 00:00:00,429,19700228,000000
1970-02-28 06:00:00,271,19700228,060000
1970-02-28 12:00:00,249,19700228,120000
1970-03-02 06:00:00,215,19700302,060000
1970-03-02 12:00:00,222,19700302,120000
1970-03-04 18:00:00,440,19700304,180000
1970-03-05 00:00:00,243,19700305,000000
1970-03-08 00:00:00,255,19700308,000000
1970-03-08 06:00:00,258,19700308,060000
1970-03-08 12:00:00,305,19700308,120000
1970-03-08 18:00:00,459,19700308,180000
1970-03-09 00:00:00,406,19700309,000000
1970-03-09 06:00:00,381,19700309,060000
1970-03-09 12:00:00,283,19700309,120000
1970-03-17 00:00:00,467,19700317,000000
1970-03-17 06:00:00,545,19700317,060000
1970-03-17 12:00:00,422,19700317,120000
1970-03-20 00:00:00,223,19700320,000000
1970-03-20 06:00:00,445,19700320,060000
1970-03-20 12:00:00,565,19700320,120000
1970-03-20 18:00:00,484,19700320,180000
1970-03-21 00:00:00,489,19700321,000000
1970-03-21 06:00:00,284,19700321,060000
1970-04-16 12:00:00,224,19700416,120000
1970-04-17 06:00:00,228,19700417,060000
1970-04-17 12:00:00,234,19700417,120000
1970-04-17 18:00:00,256,19700417,180000
1970-05-03 00:00:00,213,19700503,000000
1970-05-03 06:00:00,435,19700503,060000
1970-05-03 12:00:00,478,19700503,120000
1970-05-03 18:00:00,506,19700503,180000
1970-05-04 00:00:00,351,19700504,000000
1970-05-04 06:00:00,300,19700504,060000
1970-05-21 12:00:00,229,19700521,120000
1970-09-22 00:00:00,223,19700922,000000
1970-09-22 06:00:00,224,19700922,060000
1970-10-02 00:00:00,217,19701002,000000
1970-10-02 06:00:00,429,19701002,060000
1970-10-02 12:00:00,616,19701002,120000
1970-10-02 18:00:00,495,19701002,180000
1970-10-03 00:00:00,211,19701003,000000
1970-10-16 12:00:00,219,19701016,120000
1970-10-16 18:00:00,221,19701016,180000
1970-10-18 12:00:00,278,19701018,120000
1970-10-19 00:00:00,244,19701019,000000
1970-10-19 06:00:00,338,19701019,060000
1970-10-19 12:00:00,308,19701019,120000
1970-10-19 18:00:00,224,19701019,180000
1970-10-25 00:00:00,329,19701025,000000
1970-10-25 06:00:00,394,19701025,060000
1970-10-25 12:00:00,385,19701025,120000
